,Quarter,Sales,quarter,Q1,Q2,Q3,Q4,t,t_squared,log_Sales
0,Q1_86,1734.8269996643066,Q1,1,0,0,0,1,1,7.458662975400341
1,Q2_86,2244.9609985351562,Q2,0,1,0,0,2,4,7.716443427435318
2,Q3_86,2533.8049926757812,Q3,0,0,1,0,3,9,7.837477401596109
3,Q4_86,2154.9629974365234,Q4,0,0,0,1,4,16,7.675528831827334
4,Q1_87,1547.8189964294434,Q1,1,0,0,0,5,25,7.344602119941974
5,Q2_87,2104.411994934082,Q2,0,1,0,0,6,36,7.651791369771068
6,Q3_87,2014.3629989624023,Q3,0,0,1,0,7,49,7.60805829485411
7,Q4_87,1991.746997833252,Q4,0,0,0,1,8,64,7.596767420958349
8,Q1_88,1869.0499992370605,Q1,1,0,0,0,9,81,7.533185558963474
9,Q2_88,2313.631996154785,Q2,0,1,0,0,10,100,7.746573861465457
10,Q3_88,2128.319999694824,Q3,0,0,1,0,11,121,7.663088214952668
11,Q4_88,2026.8289985656738,Q4,0,0,0,1,12,144,7.614227781060915
12,Q1_89,1910.6039962768555,Q1,1,0,0,0,13,169,7.55517469946821
13,Q2_89,2331.164993286133,Q2,0,1,0,0,14,196,7.754123418721349
14,Q3_89,2206.5499954223633,Q3,0,0,1,0,15,225,7.6991854867000695
15,Q4_89,2173.9679946899414,Q4,0,0,0,1,16,256,7.684309345719035
16,Q1_90,2148.2779998779297,Q1,1,0,0,0,17,289,7.672421869916343
17,Q2_90,2739.3079986572266,Q2,0,1,0,0,18,324,7.915460612250083
18,Q3_90,2792.7539978027344,Q3,0,0,1,0,19,361,7.934783483943169
19,Q4_90,2556.009994506836,Q4,0,0,0,1,20,400,7.846202725703723
20,Q1_91,2480.9739990234375,Q1,1,0,0,0,21,441,7.816406503597964
21,Q2_91,3039.522994995117,Q2,0,1,0,0,22,484,8.019455872547598
22,Q3_91,3172.115997314453,Q3,0,0,1,0,23,529,8.062154151226853
23,Q4_91,2879.0009994506836,Q4,0,0,0,1,24,576,7.965198637764142
24,Q1_92,2772.0,Q1,1,0,0,0,25,625,7.927324360309794
25,Q2_92,3550.0,Q2,0,1,0,0,26,676,8.174702882469461
26,Q3_92,3508.0,Q3,0,0,1,0,27,729,8.162801353492073
27,Q4_92,3243.859992980957,Q4,0,0,0,1,28,784,8.084519255543443
28,Q1_93,3056.0,Q1,1,0,0,0,29,841,8.024862150286411
29,Q2_93,3899.0,Q2,0,1,0,0,30,900,8.268475388982598
30,Q3_93,3629.0,Q3,0,0,1,0,31,961,8.19671240721307
31,Q4_93,3373.0,Q4,0,0,0,1,32,1024,8.12355783506165
32,Q1_94,3352.0,Q1,1,0,0,0,33,1089,8.117312461601975
33,Q2_94,4342.0,Q2,0,1,0,0,34,1156,8.376090350438238
34,Q3_94,4461.0,Q3,0,0,1,0,35,1225,8.403128235128264
35,Q4_94,4017.0,Q4,0,0,0,1,36,1296,8.298290634359283
36,Q1_95,3854.0,Q1,1,0,0,0,37,1369,8.256866848974312
37,Q2_95,4936.0,Q2,0,1,0,0,38,1444,8.504310565585223
38,Q3_95,4895.0,Q3,0,0,1,0,39,1521,8.49596955496461
39,Q4_95,4333.0,Q4,0,0,0,1,40,1600,8.374015421739909
40,Q1_96,4194.0,Q1,1,0,0,0,41,1681,8.341410211461865
41,Q2_96,5253.0,Q2,0,1,0,0,42,1764,8.566554620953962
